source,year,emissions
Other,1961,124151.14
Other,1962,131737.07
Other,1963,139967.56
Other,1964,143651.25
Other,1965,155141.59
Other,1966,164333.68
Other,1967,176770.1
Other,1968,179772.5
Other,1969,185232.4
Other,1970,233632.51
Other,1971,240121.07
Other,1972,243539.13
Other,1973,263071.94
Other,1974,252062.94
Other,1975,280491.81
Other,1976,284036.27
Other,1977,282885.81
Other,1978,292774.13
Other,1979,309741.78
Other,1980,305375.86
Other,1981,302187.12
Other,1982,297438.08
Other,1983,286011.91
Other,1984,307299.09
Other,1985,241289.88
Other,1986,200576.85
Other,1987,289012.09
Other,1988,285523.15
Other,1989,294035.14
Other,1990,312695.2
Other,1991,310961.66
Other,1992,324168.56
Other,1993,326231.13
Other,1994,329604.56
Other,1995,328392.39
Other,1996,336651.38
Other,1997,337214.67
Other,1998,335685.1
Other,1999,328919.53
Other,2000,321972.32
Other,2001,329885.87
Other,2002,327046.71
Other,2003,332179.96
Other,2004,348708.09
Other,2005,342363.23
Other,2006,348398.66
Other,2007,349065.7
Other,2008,341453.03
Other,2009,332945.83
Other,2010,346088.02
Other,2011,344510.58
Other,2012,296280.73
Manure Management,1961,51575.85
Manure Management,1962,52942.26
Manure Management,1963,52913.52
Manure Management,1964,52586.42
Manure Management,1965,50608.55
Manure Management,1966,48465.39
Manure Management,1967,49723.15
Manure Management,1968,49349.92
Manure Management,1969,49308.28
Manure Management,1970,48541.13
Manure Management,1971,51118.02
Manure Management,1972,49983.45
Manure Management,1973,48861.4
Manure Management,1974,49542.4
Manure Management,1975,48182.05
Manure Management,1976,46392.31
Manure Management,1977,47172.07
Manure Management,1978,47003.48
Manure Management,1979,47667.63
Manure Management,1980,49496.09
Manure Management,1981,49307.28
Manure Management,1982,48063.96
Manure Management,1983,46824.48
Manure Management,1984,46973.86
Manure Management,1985,46269.13
Manure Management,1986,45409.98
Manure Management,1987,44697.99
Manure Management,1988,45081.26
Manure Management,1989,44840.09
Manure Management,1990,44514.38
Manure Management,1991,44755.88
Manure Management,1992,45700.07
Manure Management,1993,46099.71
Manure Management,1994,46359.04
Manure Management,1995,47129.66
Manure Management,1996,47012.01
Manure Management,1997,46364.87
Manure Management,1998,47397.46
Manure Management,1999,47836.66
Manure Management,2000,47348.42
Manure Management,2001,47366.05
Manure Management,2002,47658.29
Manure Management,2003,47473.95
Manure Management,2004,47578.01
Manure Management,2005,47880.33
Manure Management,2006,48316.62
Manure Management,2007,48510.26
Manure Management,2008,49962.9
Manure Management,2009,48706.92
Manure Management,2010,48619.1
Manure Management,2011,48877.6
Manure Management,2012,48795.03
Manure left on Pasture,1961,38545.18
Manure left on Pasture,1962,39659.31
Manure left on Pasture,1963,41417.79
Manure left on Pasture,1964,42874.02
Manure left on Pasture,1965,43795.43
Manure left on Pasture,1966,44031.64
Manure left on Pasture,1967,44217.14
Manure left on Pasture,1968,44640.03
Manure left on Pasture,1969,45091.98
Manure left on Pasture,1970,46217.2
Manure left on Pasture,1971,47263.06
Manure left on Pasture,1972,48633.9
Manure left on Pasture,1973,50245.67
Manure left on Pasture,1974,52892.62
Manure left on Pasture,1975,54637.1
Manure left on Pasture,1976,52908.88
Manure left on Pasture,1977,50725.34
Manure left on Pasture,1978,48083.57
Manure left on Pasture,1979,45778.32
Manure left on Pasture,1980,45947.9
Manure left on Pasture,1981,47253.43
Manure left on Pasture,1982,47690.04
Manure left on Pasture,1983,47457.55
Manure left on Pasture,1984,46824.52
Manure left on Pasture,1985,45149.63
Manure left on Pasture,1986,43419.52
Manure left on Pasture,1987,42166.43
Manure left on Pasture,1988,41174.33
Manure left on Pasture,1989,40010.39
Manure left on Pasture,1990,39666.9
Manure left on Pasture,1991,39961.46
Manure left on Pasture,1992,40494.18
Manure left on Pasture,1993,41188.74
Manure left on Pasture,1994,41958.24
Manure left on Pasture,1995,42699.14
Manure left on Pasture,1996,43038.74
Manure left on Pasture,1997,42249.9
Manure left on Pasture,1998,41463.95
Manure left on Pasture,1999,41186.37
Manure left on Pasture,2000,40797.11
Manure left on Pasture,2001,40507.33
Manure left on Pasture,2002,40388.59
Manure left on Pasture,2003,40389.46
Manure left on Pasture,2004,40150.75
Manure left on Pasture,2005,40699.66
Manure left on Pasture,2006,41301.28
Manure left on Pasture,2007,41246.89
Manure left on Pasture,2008,40993.71
Manure left on Pasture,2009,40412.93
Manure left on Pasture,2010,40210.33
Manure left on Pasture,2011,39711.49
Manure left on Pasture,2012,38906.69
Manure applied to Soils,1961,14249.6
Manure applied to Soils,1962,14273.5
Manure applied to Soils,1963,14258.05
Manure applied to Soils,1964,14267.63
Manure applied to Soils,1965,14070.54
Manure applied to Soils,1966,13793.07
Manure applied to Soils,1967,13986.08
Manure applied to Soils,1968,13636.64
Manure applied to Soils,1969,13607.73
Manure applied to Soils,1970,13621.96
Manure applied to Soils,1971,14009.28
Manure applied to Soils,1972,14047.82
Manure applied to Soils,1973,13935.52
Manure applied to Soils,1974,14124.71
Manure applied to Soils,1975,13898.49
Manure applied to Soils,1976,13841.58
Manure applied to Soils,1977,13828.44
Manure applied to Soils,1978,13764.34
Manure applied to Soils,1979,14031.12
Manure applied to Soils,1980,14365.13
Manure applied to Soils,1981,14550.54
Manure applied to Soils,1982,14372.78
Manure applied to Soils,1983,14277.16
Manure applied to Soils,1984,14266.65
Manure applied to Soils,1985,14349.81
Manure applied to Soils,1986,14423.37
Manure applied to Soils,1987,14700.74
Manure applied to Soils,1988,14751.72
Manure applied to Soils,1989,14955.45
Manure applied to Soils,1990,15244.21
Manure applied to Soils,1991,15398.81
Manure applied to Soils,1992,15674.39
Manure applied to Soils,1993,15830.3
Manure applied to Soils,1994,15992.05
Manure applied to Soils,1995,16292.13
Manure applied to Soils,1996,16495.29
Manure applied to Soils,1997,16426.48
Manure applied to Soils,1998,16344.8
Manure applied to Soils,1999,16318.94
Manure applied to Soils,2000,16408.44
Manure applied to Soils,2001,16484.1
